,o_loc,d_loc,hbw,hbo,nhb,am,md,pm,rd
80,5,5,36902.2564103,35837.7435897,65024.3846154,42244.8461538,56731.051282,35595.3076923,49869.6666667
81,5,6,816.666666666,1530.64102564,962.435897436,261.923076923,1125.97435897,954.871794872,666.358974359
82,5,7,3000.46153846,7273.07692307,5774.71794872,1801.12820513,5561.92307692,3650.28205128,1989.12820513
83,5,8,2530.05128205,5393.25641026,3753.07692308,1249.35897436,4080.84615385,3359.05128205,1880.51282051
84,5,9,498.102564103,799.641025641,523.717948718,205.076923077,630.58974359,498.538461539,301.666666666
85,5,10,2873.58974359,4631.58974359,3224.8974359,1170.02564103,4167.79487179,3795.35897436,2060.58974359
86,5,11,8834.51282051,16244.6666667,9708.92307692,3098.71794872,12913.2307692,10869.6666667,6368.92307692
87,5,12,2345.30769231,5364.35897436,3779.0,1110.92307692,3966.0,2205.02564103,1647.66666667
88,5,13,908.0,1825.23076923,1087.82051282,338.512820513,1259.87179487,794.358974359,433.307692308
89,5,14,412.538461539,564.871794872,455.897435897,109.179487179,492.307692308,472.179487179,235.205128205
90,5,15,796.794871795,1865.56410256,767.230769231,399.615384615,1232.97435897,1341.92307692,772.461538461
91,5,16,1275.0,2216.94871795,1788.71794872,508.487179487,2091.46153846,1642.30769231,848.923076923
92,5,17,91.358974359,89.1282051282,48.6153846154,16.2307692308,77.358974359,136.538461538,78.4871794872
93,5,18,3186.07692308,6021.33333333,4267.58974359,1481.1025641,4563.74358974,3507.07692308,2129.7948718
94,5,19,4165.38461538,9693.61538462,5929.84615384,2232.33333333,7019.74358974,4845.43589744,3298.35897436
95,6,1,4202.23076923,7624.17948718,2179.43589744,1260.71794872,4849.35897436,6281.97435898,3190.28205128
96,6,2,1877.66666667,2964.8974359,2036.92307692,1118.02564103,2058.23076923,1032.76923077,638.666666666
97,6,3,1379.87179487,1877.84615385,1400.71794872,511.666666667,1703.23076923,1320.33333333,661.307692308
98,6,4,5038.28205128,12525.2564103,6467.15384615,3165.30769231,9025.41025641,5329.8974359,3605.87179487
99,6,5,863.666666667,1485.30769231,914.153846154,409.58974359,1167.87179487,622.769230769,343.128205128
100,6,6,16700.2307692,10904.6153846,37659.8461539,32599.6666667,35976.0,27792.5641026,42184.6153846
101,6,7,1252.61538462,2796.56410256,1678.48717949,670.948717949,1864.64102564,1239.61538462,522.717948718
102,6,8,3797.23076923,6941.53846154,4399.33333333,2153.64102564,5482.30769231,3778.0,2458.07692308
103,6,9,1094.94871795,1382.53846154,1232.58974359,406.358974359,1431.0,849.512820512,523.641025641
104,6,10,3894.51282051,4256.43589744,2195.8974359,803.102564102,3915.2051282,4835.33333333,1889.82051282
105,6,11,2376.25641026,4221.05128205,1935.38461538,715.794871795,3103.58974359,3009.97435897,1641.41025641
106,6,12,1270.74358974,1813.66666667,1221.97435897,523.256410256,1427.46153846,1015.41025641,677.358974359
107,6,13,1773.05128205,3279.15384615,2271.51282051,1003.38461538,2696.87179487,1774.0,1002.12820513
108,6,14,463.564102564,788.641025641,651.256410256,186.179487179,687.35897436,571.435897436,278.41025641
109,6,15,839.0,1258.92307692,447.897435897,247.0,904.58974359,1133.38461538,658.743589743
110,6,16,1979.05128205,2756.74358974,1905.28205128,825.538461539,2079.51282051,1737.74358974,1066.87179487
111,6,17,146.307692308,122.102564103,52.8717948718,13.3076923077,128.717948718,144.17948718,75.1794871794
